iter	Logloss
0	0.6804097211
1	0.668187471
2	0.6565994448
3	0.6459535043
4	0.6351517428
5	0.6242520966
6	0.6146902305
7	0.6048109235
8	0.5952050991
9	0.5858025699
10	0.5767594394
11	0.5677431739
12	0.5586930893
13	0.5500648653
14	0.5423396623
15	0.5341229651
16	0.5259544559
17	0.5184638471
18	0.5107847202
19	0.5033981973
20	0.4972467863
21	0.490656359
22	0.484152569
23	0.4784483338
24	0.4720975677
25	0.4657920687
26	0.4598350706
27	0.4541340482
28	0.4488807516
29	0.4436645547
30	0.4384389242
31	0.4335997741
32	0.4284478027
33	0.4236203255
34	0.4191403973
35	0.4144405824
36	0.4100993307
37	0.4060503186
38	0.4018602796
39	0.3978286553
40	0.3939717013
41	0.3902495743
42	0.3867321992
43	0.3831201095
44	0.3796458365
45	0.3763005897
46	0.3728268523
47	0.3697120953
48	0.366508508
49	0.3636202008
50	0.3609161154
51	0.3580604397
52	0.3548989945
53	0.3520057939
54	0.349258009
55	0.3465405598
56	0.344264984
57	0.341716675
58	0.3394364354
59	0.3370742096
60	0.3347809573
61	0.3325060064
62	0.3304236858
63	0.3281923312
64	0.3263736113
65	0.3242939132
66	0.3223105875
67	0.3205178573
68	0.3184780461
69	0.3167423896
70	0.3149656951
71	0.3134083452
72	0.3118755529
73	0.3102680469
74	0.3086701029
75	0.3071354327
76	0.3058182462
77	0.3043180818
78	0.3028306057
79	0.301577223
80	0.2999356035
81	0.2986374641
82	0.2971438848
83	0.2958824833
84	0.2948302874
85	0.2937971297
86	0.2925508199
87	0.2914943701
88	0.2904033544
89	0.289264997
90	0.2882495596
91	0.2872069901
92	0.2862304752
93	0.2851557653
94	0.2842322618
95	0.2832257359
96	0.2821664905
97	0.2813192972
98	0.2803154317
99	0.2793673223
100	0.2784511244
101	0.2775197069
102	0.2768317279
103	0.2760011489
104	0.2753071106
105	0.2744522444
106	0.2736745278
107	0.27305952
108	0.2722516619
109	0.2714339103
110	0.2707479328
111	0.2701291792
112	0.2694279378
113	0.2687144859
114	0.2681757453
115	0.2674989782
116	0.2668525793
117	0.266375204
118	0.2658145927
119	0.2651942555
120	0.26457019
121	0.2640075912
122	0.2633737922
123	0.2629046487
124	0.26248385
125	0.2619710239
126	0.2614448302
127	0.2609645222
128	0.2604924646
129	0.2600398006
130	0.2595594802
131	0.2591741491
132	0.258681822
133	0.2582899527
134	0.2577350807
135	0.2573881489
136	0.2569756276
137	0.256558107
138	0.2561791274
139	0.2557974506
140	0.2554127302
141	0.2550045586
142	0.2546394409
143	0.2543343008
144	0.2539658054
145	0.2537617078
146	0.2535654834
147	0.2531823845
148	0.2527625779
149	0.2524879974
150	0.2522516289
151	0.2519547513
152	0.2516097163
153	0.2513928131
154	0.2511069042
155	0.2507901088
156	0.2504957946
157	0.2502303807
158	0.2499118303
159	0.2496470509
160	0.2492864908
161	0.2490160015
162	0.2487090816
163	0.2484739531
164	0.24819429
165	0.247973146
166	0.2476982172
167	0.2475099394
168	0.2473019445
169	0.2470816251
170	0.2468836948
171	0.2466051306
172	0.2463852743
173	0.2461665079
174	0.2460212477
175	0.2457721566
176	0.2455995003
177	0.2454654363
178	0.2452323595
179	0.244949726
180	0.2447429316
181	0.2446081921
182	0.2444058914
183	0.2442285021
184	0.2440323498
185	0.2438990849
186	0.2437946459
187	0.2436915371
188	0.2435188298
189	0.2433228945
190	0.2431268529
191	0.2429217566
192	0.242737326
193	0.2424956947
194	0.2423412339
195	0.2422071795
196	0.2420266769
197	0.2418955421
198	0.2417476784
199	0.2415856062
200	0.2414217442
201	0.2413435478
202	0.2410885115
203	0.2409334005
204	0.2407720548
205	0.2406438775
206	0.2405251466
207	0.240438816
208	0.2403107471
209	0.2401837411
210	0.2400996004
211	0.2400007835
212	0.2398675215
213	0.2397456842
214	0.2396211218
215	0.2395021567
216	0.2393960159
217	0.2392868835
218	0.239169075
219	0.2390504957
220	0.2389286059
221	0.2387722162
222	0.2386457212
223	0.2385268933
224	0.2383107821
225	0.2381857756
226	0.2380445181
227	0.2379557044
228	0.2377695847
229	0.2377161571
230	0.2376217412
231	0.2375040399
232	0.2373765804
233	0.2372742568
234	0.2371460031
235	0.2369972439
236	0.2369072959
237	0.2368031005
238	0.236727944
239	0.2366019032
240	0.2365014897
241	0.236436224
242	0.2363419694
243	0.2362454176
244	0.2361548247
245	0.2360637085
246	0.2359726029
247	0.2358894201
248	0.2357208639
249	0.2356447398
250	0.23557795
251	0.2355104645
252	0.235454491
253	0.2353547683
254	0.2352315038
255	0.2351692958
256	0.2350808977
257	0.2349981566
258	0.2348844722
259	0.2348077214
260	0.234737815
261	0.2346737966
262	0.2345833796
263	0.2345140068
264	0.2344758034
265	0.2343917779
266	0.2343179542
267	0.2342758348
268	0.2341302884
269	0.2340256143
270	0.2339708401
271	0.2338907282
272	0.2338262569
273	0.233752621
274	0.2337104744
275	0.2336134162
276	0.2335497966
277	0.2334756153
278	0.233383277
279	0.2333003421
280	0.2331786217
281	0.233105405
282	0.2330384522
283	0.2329005075
284	0.2328019673
285	0.2327062056
286	0.2326377636
287	0.2325281652
288	0.2324531967
289	0.2323733777
290	0.2322973477
291	0.2322180793
292	0.2321474545
293	0.2320934035
294	0.2320452914
295	0.231927143
296	0.2318834255
297	0.2317878358
298	0.2317111898
299	0.231659208
300	0.2315978816
301	0.2315622934
302	0.2314926591
303	0.2314176625
304	0.2313614288
305	0.2312924298
306	0.2312485266
307	0.2311753712
308	0.2311231003
309	0.2310527191
310	0.2310015703
311	0.23090267
312	0.230879811
313	0.2307965904
314	0.2307287642
315	0.2305862109
316	0.2305041568
317	0.2304249269
318	0.2303223903
319	0.2302700675
320	0.2302029358
321	0.2301480904
322	0.2300740842
323	0.2300381207
324	0.229975598
325	0.2299031642
326	0.2298458612
327	0.229780409
328	0.2297400769
329	0.2296659432
330	0.2296204094
331	0.2295573814
332	0.2294961123
333	0.2294591373
334	0.2294017504
335	0.2293585921
336	0.229268657
